start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,dollar_year,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw
CA_N,CA_S,745165.3994541309,36095.08558061371,0.0324299802246093,310199,300863,2018,568.947005513417,231981.51213757333,131965.60515153766,0.02393037279479111,0.013933934992048803,69.22284508618988,40.32667447889517,1109112.5167432418,0.07029428801144921,678.496525078502,53724.32917537989
CA_N,WECC_N,930279.9531240822,45061.854115262104,0.0608781002422124,308370,201575,2018,1068.088707861255,231981.51213757333,,0.02393037279479111,,69.22284508618988,,1162261.4652616554,0.0848084730370035,1137.3115529474449,56298.812433321145
CA_N,WECC_PNW,851548.3087763087,41248.170008730725,0.0556887147216796,201104,304459,2018,976.9950391004845,231981.51213757333,454190.68380382087,0.02393037279479111,0.0191012902679443,69.22284508618988,256.39318164425606,1537720.504717703,0.098720377784415,1302.6110658309303,74485.68231631452
CA_S,WECC_N,879400.477950918,42597.30193393781,0.05782494140625,303308,201575,2018,1014.4727445238959,131965.60515153766,,0.013933934992048803,,40.32667447889517,,1011366.0831024557,0.0717588763982988,1054.7994190027912,48989.58721064494
CA_S,WECC_NMAZ,481357.8921260864,23316.50707872732,0.02668015335083,303308,304274,2018,358.1228893743474,131965.60515153766,421882.0114348713,0.013933934992048803,0.038317775991929245,40.32667447889517,283.4032461575601,1035205.5087124954,0.07893186433480805,681.8528100108026,50144.34574910822
CA_S,WECC_PNW,1211590.8749524024,,0.0890568640136718,303308,201052,2018,1562.401153701768,131965.60515153766,454190.68380382087,0.013933934992048803,0.0191012902679443,40.32667447889517,256.39318164425606,1797747.1639077608,0.1220920892736649,1859.1210098249194,87081.12021987482
WECC_N,WECC_WYCO,730080.4066354883,35364.383232959466,0.0470023656005859,201924,203837,2018,824.602903476754,,,,,,,730080.4066354883,0.0470023656005859,824.602903476754,35364.383232959466
WECC_N,WECC_NMAZ,625255.6345134571,30286.77345198365,0.0353725658794194,301298,201575,2018,620.6231957466629,,421882.0114348713,,0.038317775991929245,,283.4032461575601,1047137.6459483283,0.07369034187134865,904.026441904223,50722.326845657415
WECC_N,WECC_PNW,983433.4701202344,47636.55866581179,0.0702766025390625,200995,201924,2018,1232.9230150024637,,454190.68380382087,,0.0191012902679443,,256.39318164425606,1437624.1539240554,0.0893778928070068,1489.3161966467196,69637.11265533653
WECC_WYCO,WECC_NMAZ,907891.791652676,43977.39339701757,0.0747971158447265,202112,300626,2018,1312.2301038367762,,421882.0114348713,,0.038317775991929245,,283.4032461575601,1329773.8030875472,0.11311489183665574,1595.6333499943362,64412.946790691334
