case_id,year,region,CES,RPS,CO_2_Max_Mtons,copy_case_id
p1,2030,all,0.807,0.500,None,
p2,2030,all,0.807,None,None,
p3,2030,all,0.800,0.500,None,
p4,2030,all,0.800,None,None,
p5,2030,all,None,0.500,None,
p6,2030,all,None,0.500,159,
p7,2030,all,None,None,159,
p8,2030,all,None,None,None,
s1,2030,all,,,,p1
s2,2030,all,,,,p2
s3,2030,all,,,,p1
s4,2030,all,,,,p1
s5,2030,all,,,,p1
s6,2030,all,,,,p1
s7,2030,all,,,,p1
s8,2030,all,,,,p1
s9,2030,all,,,,p1
s10,2030,all,,,,p1
p1,2045,all,1.000,0.500,None,
p2,2045,all,1.000,None,None,
p3,2045,all,1.000,0.500,None,
p4,2045,all,1.000,None,None,
p5,2045,all,None,1.000,None,
p6,2045,all,None,0.500,159 MT,
p7,2045,all,None,None,159 MT,
p8,2045,all,None,None,None,
s1,2045,all,,,,p1
s2,2045,all,,,,p2
s3,2045,all,,,,p1
s4,2045,all,,,,p1
s5,2045,all,,,,p1
s6,2045,all,,,,p1
s7,2045,all,,,,p1
s8,2045,all,,,,p1
s9,2045,all,,,,p1
s10,2045,all,,,,p1
