abbreviation,code,id,month,name,type
JAN,M01,M01,1,January,monthly
FEB,M02,M02,2,February,monthly
MAR,M03,M03,3,March,monthly
APR,M04,M04,4,April,monthly
MAY,M05,M05,5,May,monthly
JUN,M06,M06,6,June,monthly
JUL,M07,M07,7,July,monthly
AUG,M08,M08,8,August,monthly
SEP,M09,M09,9,September,monthly
OCT,M10,M10,10,October,monthly
NOV,M11,M11,11,November,monthly
DEC,M12,M12,12,December,monthly
AN AV,M13,M13,1,Annual Average,annual
HALF1,S01,S01,1,First Half,semiannual
HALF2,S02,S02,7,Second Half,semiannual
AN AV,S03,S03,1,Annual Average,annual
